id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,names
1,2025-12-29T12:47:29,2025-12-29T12:47:29.017,OIC_USER3,OIC_USER3,Active
2,2025-12-29T12:47:42,2025-12-29T12:47:42.003,OIC_USER3,OIC_USER3,Inactive
